category,metric,value
revenue,revenue,281724000000.0
revenue,revenue_yoy_growth,0.1493215623240672
revenue,revenue_cagr_3y,0.12423114652863054
revenue,revenue_cagr_5y,
profitability,gross_margin,0.6882374238616519
profitability,ebitda_margin,0.5685174142068123
profitability,ebit_margin,0.4562195624085985
profitability,net_margin,0.3614601524896707
returns,roe,0.3328082411153743
returns,roa,0.18004784443662558
returns,roce,0.29729073325761973
returns,asset_turnover,0.49811256703260176
balance_sheet,debt_to_equity,0.17639506345366093
balance_sheet,net_debt_to_ebitda,0.189467112040708
balance_sheet,current_ratio,1.3534464445042416
balance_sheet,interest_coverage,53.89014675052411
balance_sheet,working_capital,49913000000.0
balance_sheet,working_capital_pct_revenue,0.17716985418352715
cashflow,operating_cash_flow,136162000000.0
cashflow,free_cash_flow,71611000000.0
cashflow,cfo_to_net_income,1.3371238903291696
cashflow,capex,64551000000.0
cashflow,capex_to_revenue,0.22912850875324786
cashflow,capex_yoy_growth,0.45133439755379184
valuation,share_price,391.7900085449219
valuation,shares_outstanding,7432377656.0
valuation,market_cap,2911931305353.326
valuation,enterprise_value,2942277305353.326
valuation,price_to_earnings,28.59544451010808
valuation,price_to_book,8.47775644319835
valuation,ev_to_ebitda,18.37028879813521
valuation,ev_to_sales,10.4438290857482
valuation,fcf_yield,0.024592269696867352
